Название улицы,Длина,Начальные координаты,Конечные координаты
Амира Темира улица,72.227,"(72.7886682, 40.5224873)","(72.7887929, 40.5218447)"
Кольцо,7.765000000000001,"(72.8136267, 40.514363)","(72.8136457, 40.5142951)"
,20.949,"(72.7331888, 40.516582)","(72.7329416, 40.5165686)"
Кокум-Бий улица,2.458,"(72.7331888, 40.516582)","(72.7332178, 40.5165836)"
Бегиева улица,98.23899999999999,"(72.7331888, 40.516582)","(72.7329647, 40.5157151)"
улица Розияхон Моминовой,16.644,"(72.7954372, 40.5268261)","(72.7952474, 40.5267862)"
Курманжан Датка улица,136.115,"(72.7954372, 40.5268261)","(72.7963105, 40.5257976)"
улица Розияхон Моминовой,171.917,"(72.7954372, 40.5268261)","(72.7974329, 40.5271249)"
Курманжан Датка улица,60.186,"(72.7972429, 40.5246996)","(72.7976539, 40.5242576)"
Абдыкадырова улица,114.397,"(72.7972429, 40.5246996)","(72.7984388, 40.5251581)"
Ленина улица,156.23,"(72.8088481, 40.5136758)","(72.8098327, 40.5124868)"
Ленина улица,38.411,"(72.8088481, 40.5136758)","(72.808598, 40.5139642)"
Генерала Нурматова улица,218.662,"(72.8088481, 40.5136758)","(72.8114167, 40.5139075)"
Nurmatov,77.789,"(72.8114167, 40.5139075)","(72.8117475, 40.5132547)"
,24.499,"(72.8114167, 40.5139075)","(72.8111889, 40.5140437)"
Генерала Нурматова улица,218.662,"(72.8114167, 40.5139075)","(72.8088481, 40.5136758)"
Генерала Нурматова улица,78.28,"(72.8114167, 40.5139075)","(72.8123302, 40.5140227)"
Суйумбаева улица,114.233,"(72.8135188, 40.5051671)","(72.8146885, 40.5056813)"
Курманджан Датка,119.291,"(72.8135188, 40.5051671)","(72.81273, 40.5060566)"
Суйумбаева улица,114.233,"(72.8146885, 40.5056813)","(72.8135188, 40.5051671)"
Ленина улица,129.108,"(72.8146885, 40.5056813)","(72.8141736, 40.5067744)"
Ленина улица,141.862,"(72.8146885, 40.5056813)","(72.8151618, 40.5044575)"
Шакирова А. улица,10.716,"(72.8174456, 40.5144697)","(72.8173465, 40.5145298)"
,176.589,"(72.8174456, 40.5144697)","(72.8155665, 40.513776)"
Аскар Шакиров,106.152,"(72.8174456, 40.5144697)","(72.818329, 40.5137919)"
Аскар Шакиров,54.392,"(72.8217209, 40.5068102)","(72.8223139, 40.5069999)"
Аскар Шакиров,210.99800000000002,"(72.8217209, 40.5068102)","(72.8213878, 40.504976)"
Ташкентская улица,78.45700000000001,"(72.8217209, 40.5068102)","(72.820856, 40.5065552)"
Аскар Шакиров,54.392,"(72.8223139, 40.5069999)","(72.8217209, 40.5068102)"
Ташкентская улица,18.202,"(72.8223139, 40.5069999)","(72.8225289, 40.5070084)"
Аскар Шакиров,28.174999999999997,"(72.8223139, 40.5069999)","(72.822392, 40.5072362)"
Аскар Шакиров,13.78,"(72.8201415, 40.5112753)","(72.8202051, 40.5111612)"
Аскар Шакиров,118.844,"(72.8201415, 40.5112753)","(72.8195209, 40.5122343)"
,112.46700000000001,"(72.8201415, 40.5112753)","(72.8208238, 40.5119288)"
Насиридин Исанова,72.59,"(72.8257387, 40.495773)","(72.8265177, 40.4960473)"
Насирдина Исанова улица,107.831,"(72.8257387, 40.495773)","(72.8262942, 40.4949001)"
,502.082,"(72.8257387, 40.495773)","(72.8218783, 40.4977086)"
Насирдина Исанова улица,113.904,"(72.8257387, 40.495773)","(72.8251022, 40.4966758)"
Шавкат Рахмон,103.992,"(72.8114234, 40.5349532)","(72.8120531, 40.5357567)"
Памирская,38.74,"(72.8114234, 40.5349532)","(72.8118815, 40.5349404)"
,352.3579999999999,"(72.8114234, 40.5349532)","(72.8104754, 40.53799)"
Монуева улица,52.323,"(72.8114234, 40.5349532)","(72.8108058, 40.53492)"
,94.88,"(72.8114234, 40.5349532)","(72.8118256, 40.5341568)"
Киргизская улица,110.199,"(72.7854681, 40.5473723)","(72.7845187, 40.5466928)"
Ленина улица,97.863,"(72.7854681, 40.5473723)","(72.784712, 40.548039)"
Ленина улица,76.596,"(72.7854681, 40.5473723)","(72.7860593, 40.5468501)"
Ленина улица,127.245,"(72.7735227, 40.5573832)","(72.7743283, 40.5564163)"
Ленина улица,463.02,"(72.7735227, 40.5573832)","(72.7704338, 40.560822)"
,152.851,"(72.7735227, 40.5573832)","(72.7748404, 40.5574691)"
Гапара Айтиева улица,10.062,"(72.7969681, 40.5293226)","(72.7968519, 40.5293029)"
Ленина улица,181.229,"(72.7969681, 40.5293226)","(72.7965557, 40.530922)"
